N;educ;south;nonwhite;female;married;exper;union;lwage;age;year;y85
1;12;0;0;0;0;8;0;1.215;25;78;0
2;12;0;0;1;1;30;1;1.6094;47;78;0
3;6;0;0;0;1;38;1;2.1401;49;78;0
4;12;0;0;0;1;19;1;2.0732;36;78;0
5;12;0;0;0;1;11;0;1.649;28;78;0
6;8;0;0;0;1;43;0;1.7148;56;78;0
7;11;0;0;0;0;2;0;1.0986;18;78;0
8;15;0;0;1;0;9;0;1.8326;29;78;0
9;16;0;0;1;0;17;0;0.3567;38;78;0
10;15;0;0;0;1;23;1;2.1547;43;78;0
11;15;0;0;0;1;39;1;1.9867;59;78;0
12;12;0;0;1;1;5;1;1.7047;22;78;0
13;11;0;0;0;1;27;1;2.1102;43;78;0
14;12;0;0;0;1;29;0;1.8326;46;78;0
15;12;0;0;0;0;7;0;1.3083;24;78;0
16;12;0;0;1;0;42;1;2.23;59;78;0
17;18;0;0;0;1;35;1;2.5257;58;78;0
18;18;0;0;1;1;31;1;2.3979;54;78;0
19;6;0;0;0;1;24;0;1.2528;35;78;0
20;14;0;1;0;1;14;1;2.0794;33;78;0
21;12;0;0;1;0;40;1;2.0149;57;78;0
22;12;0;0;1;0;10;0;1.204;27;78;0
23;13;0;0;1;0;3;0;1.3863;21;78;0
24;13;0;0;0;0;2;0;1.2311;20;78;0
25;15;0;0;0;0;7;0;1.5041;27;78;0
26;16;0;0;0;0;29;0;2.5997;50;78;0
27;13;0;0;0;1;27;1;2.238;45;78;0
28;18;0;0;0;0;8;0;2.3539;31;78;0
29;10;0;0;0;1;6;1;2.5257;21;78;0
30;14;0;0;1;0;2;0;0.9361;21;78;0
31;8;0;0;0;0;36;1;2.0149;49;78;0
32;15;0;0;1;1;23;1;1.1314;43;78;0
33;8;0;0;1;1;48;1;1.6582;61;78;0
34;12;0;0;0;0;21;1;2.0677;38;78;0
35;8;0;0;0;1;11;1;2.082;24;78;0
36;12;0;0;1;1;26;1;2.1547;43;78;0
37;16;0;0;1;1;10;0;1.9671;31;78;0
38;14;0;0;0;1;37;0;2.7593;56;78;0
39;13;0;0;0;1;21;0;1.2972;39;78;0
40;16;0;0;1;1;21;0;1.2528;42;78;0
41;13;0;0;0;0;6;1;2.3749;24;78;0
42;12;0;0;0;1;25;1;1.6368;42;78;0
43;13;0;0;0;0;5;0;1.2321;23;78;0
44;11;0;0;0;0;13;1;1.7492;29;78;0
45;16;0;0;0;0;15;0;2.3026;36;78;0
46;12;0;0;1;1;8;0;1.5581;25;78;0
47;10;0;0;0;1;8;1;1.6094;23;78;0
48;14;0;0;0;1;11;0;1.5581;30;78;0
